TABLAS EN BD LOCAL (2025-11-27T22:21:18.466Z)
=======================================

Account | BASE TABLE
CatalogoEquipo | BASE TABLE
CatalogoServicio | BASE TABLE
CategoriaEquipo | BASE TABLE
CategoriaServicio | BASE TABLE
Cliente | BASE TABLE
Cotizacion | BASE TABLE
CotizacionEquipo | BASE TABLE
CotizacionEquipoItem | BASE TABLE
CotizacionGasto | BASE TABLE
CotizacionGastoItem | BASE TABLE
CotizacionProveedor | BASE TABLE
CotizacionProveedorItem | BASE TABLE
CotizacionServicio | BASE TABLE
CotizacionServicioItem | BASE TABLE
ListaEquipo | BASE TABLE
ListaEquipoItem | BASE TABLE
PedidoEquipo | BASE TABLE
PedidoEquipoItem | BASE TABLE
Plantilla | BASE TABLE
PlantillaEquipo | BASE TABLE
PlantillaEquipoItem | BASE TABLE
PlantillaGasto | BASE TABLE
PlantillaGastoItem | BASE TABLE
PlantillaServicio | BASE TABLE
PlantillaServicioItem | BASE TABLE
Proveedor | BASE TABLE
Proyecto | BASE TABLE
ProyectoEquipo | BASE TABLE
ProyectoEquipoItem | BASE TABLE
ProyectoGasto | BASE TABLE
ProyectoGastoItem | BASE TABLE
ProyectoServicio | BASE TABLE
ProyectoServicioItem | BASE TABLE
Recurso | BASE TABLE
RegistroHoras | BASE TABLE
Session | BASE TABLE
Unidad | BASE TABLE
UnidadServicio | BASE TABLE
User | BASE TABLE
Valorizacion | BASE TABLE
VerificationToken | BASE TABLE
_prisma_migrations | BASE TABLE
asignaciones_recurso | BASE TABLE
cotizacion_condicion | BASE TABLE
cotizacion_edt | BASE TABLE
cotizacion_exclusion | BASE TABLE
cotizacion_tarea | BASE TABLE
cotizacion_version | BASE TABLE
crm_actividad | BASE TABLE
crm_competidor_licitacion | BASE TABLE
crm_contacto_cliente | BASE TABLE
crm_historial_proyecto | BASE TABLE
crm_metrica_comercial | BASE TABLE
crm_oportunidad | BASE TABLE
dependencias_tarea | BASE TABLE
plantilla_condicion | BASE TABLE
plantilla_condicion_item | BASE TABLE
plantilla_exclusion | BASE TABLE
plantilla_exclusion_item | BASE TABLE
proyecto_edt | BASE TABLE
registros_progreso | BASE TABLE
subtareas | BASE TABLE
tareas | BASE TABLE

Total: 64 tablas
