TABLAS EN NEON (2025-11-27T22:18:50.783Z)
========================================

Account | BASE TABLE | public
CatalogoEquipo | BASE TABLE | public
CatalogoServicio | BASE TABLE | public
CategoriaEquipo | BASE TABLE | public
CategoriaServicio | BASE TABLE | public
Cliente | BASE TABLE | public
Cotizacion | BASE TABLE | public
CotizacionEquipo | BASE TABLE | public
CotizacionEquipoItem | BASE TABLE | public
CotizacionGasto | BASE TABLE | public
CotizacionGastoItem | BASE TABLE | public
CotizacionProveedor | BASE TABLE | public
CotizacionProveedorItem | BASE TABLE | public
CotizacionServicio | BASE TABLE | public
CotizacionServicioItem | BASE TABLE | public
ListaEquipo | BASE TABLE | public
ListaEquipoItem | BASE TABLE | public
PedidoEquipo | BASE TABLE | public
PedidoEquipoItem | BASE TABLE | public
Plantilla | BASE TABLE | public
PlantillaEquipo | BASE TABLE | public
PlantillaEquipoItem | BASE TABLE | public
PlantillaGasto | BASE TABLE | public
PlantillaGastoItem | BASE TABLE | public
PlantillaServicio | BASE TABLE | public
PlantillaServicioItem | BASE TABLE | public
Proveedor | BASE TABLE | public
Proyecto | BASE TABLE | public
ProyectoEquipoCotizado | BASE TABLE | public
ProyectoEquipoCotizadoItem | BASE TABLE | public
ProyectoGastoCotizado | BASE TABLE | public
ProyectoGastoCotizadoItem | BASE TABLE | public
ProyectoServicioCotizado | BASE TABLE | public
ProyectoServicioCotizadoItem | BASE TABLE | public
Recurso | BASE TABLE | public
RegistroHoras | BASE TABLE | public
Session | BASE TABLE | public
Unidad | BASE TABLE | public
UnidadServicio | BASE TABLE | public
User | BASE TABLE | public
Valorizacion | BASE TABLE | public
VerificationToken | BASE TABLE | public
analytics_events | BASE TABLE | public
asignaciones_recurso | BASE TABLE | public
audit_log | BASE TABLE | public
calendario_laboral | BASE TABLE | public
configuracion_calendario | BASE TABLE | public
cotizacion_actividad | BASE TABLE | public
cotizacion_condicion | BASE TABLE | public
cotizacion_dependencias_tarea | BASE TABLE | public
cotizacion_edt | BASE TABLE | public
cotizacion_exclusion | BASE TABLE | public
cotizacion_fase | BASE TABLE | public
cotizacion_plantilla_import | BASE TABLE | public
cotizacion_tarea | BASE TABLE | public
cotizacion_version | BASE TABLE | public
crm_actividad | BASE TABLE | public
crm_competidor_licitacion | BASE TABLE | public
crm_contacto_cliente | BASE TABLE | public
crm_historial_proyecto | BASE TABLE | public
crm_metrica_comercial | BASE TABLE | public
crm_oportunidad | BASE TABLE | public
dependencias_tarea | BASE TABLE | public
dia_calendario | BASE TABLE | public
excepcion_calendario | BASE TABLE | public
fase_default | BASE TABLE | public
metrica_comercial | BASE TABLE | public
notificaciones | BASE TABLE | public
permissions | BASE TABLE | public
plantilla_condicion | BASE TABLE | public
plantilla_condicion_item | BASE TABLE | public
plantilla_duracion_cronograma | BASE TABLE | public
plantilla_equipo_independiente | BASE TABLE | public
plantilla_equipo_item_independiente | BASE TABLE | public
plantilla_exclusion | BASE TABLE | public
plantilla_exclusion_item | BASE TABLE | public
plantilla_gasto_independiente | BASE TABLE | public
plantilla_gasto_item_independiente | BASE TABLE | public
plantilla_servicio_independiente | BASE TABLE | public
plantilla_servicio_item_independiente | BASE TABLE | public
proyecto_actividad | BASE TABLE | public
proyecto_cronograma | BASE TABLE | public
proyecto_dependencias_tarea | BASE TABLE | public
proyecto_edt | BASE TABLE | public
proyecto_fase | BASE TABLE | public
proyecto_subtarea | BASE TABLE | public
proyecto_tarea | BASE TABLE | public
registros_progreso | BASE TABLE | public
subtareas | BASE TABLE | public
tareas | BASE TABLE | public
user_permissions | BASE TABLE | public

Total: 91 tablas
